col_name,req,type,controlled,description,units,min,max,notes
exp_name,yes,string,,Experiment ID,,,,
sit_name,yes,string,,Site ID,,,,
sit_lat,yes,num,,Site latitude,decimal degrees,-90,90,
sit_long,yes,num,,Site longitude,decimal degrees,-180,180,
datum,,string,,GPS datum,,,,
elevation,yes,num,,Site elevation,masl,,,mean for site
country,,string,,Country,,,,Capitalize
MAT,yes,num,,Mean annual temperature,deg C,,,
MAT_refPeriod,no,string,,Reference period for MAT,date range,,,"For example, ""1990-2010"""
MAP,yes,num,no,Mean annual precipitation,mm yr-1,0,,
MAP_refPeriod,no,string,,Reference period for MAP,date range,,,"For example, ""1990-2010"""
biome,yes,string,1,Biome,,,,
leafPheno,,string,1,Dominant leaf phenology,deciduous;evergreen;mixed,,,
species,,string,,Dominant vegetation,,,,species binomials
landscape_position,,string,1,Landscape position of site,summit;shoulder;backslope;footslope;toeslope;interfluve,,,
slope,,num,,Slope of site,percent,0,100,mean for site---may be better at plot scale
aspect,,string,1,Aspect of site,N;NNE;NE;ENE;E;ESE;SE;SSE;S;SSW;SW;WSW;W;WNW;NW;NNW,,,
soil_drainage,,string,1,Soil drainage classification,excessively;somewhat excessively;well; moderately well;somewhat poorly;poorly;very poorly,,,
soil_texture_class,,string,1,Soil texture classification,sand;loamy sand;sandy loam;sandy clay loam;loam;silt loam;silt;silty clay loam;clay;clay loam;sandy clay;silty clay,,,
soil_taxon_sys,,string,1,Soil taxonomic system,USDA;WRB;other,,,
soil_taxon,,string,,Soil taxonomy,,,,soil taxonomic name/description
parent_material,,string,1,Parent material,igneous intrusive;igneous extrusive;igneous pyroclastic;metamorphic;sedimentary-clastics;organic;evaporites;interbedded;loess,,,
site_notes,,string,,Additional notes about site data,,,,
permafrost,,string,1,Permafrost extent,continuous;discontinuous;sporadic;isolated;none,,,"default is ""none"""
soil_depth,,num,,Depth to bedrock,m,,,